,economy,GDP per capita (current US$),"Government expenditure on education, total (% of government expenditure)",Current health expenditure (% of GDP),Gini index,"Life expectancy at birth, total (years)",year,region,ncomelvl,incomelvl
949,EAS,11595.2940923559,13.6221199035644,6.96951697935485,,76.5434376080231,2020,,,
950,EAS,13282.7636699758,12.1116104125977,6.7705042557205,,76.1530093756951,2021,,,
951,EAS,13084.2848090909,13.2538001992033,6.59011392833255,,76.6767834400676,2022,,,
952,EAS,13117.90954458,12.9540801048278,,,76.6595183258032,2023,,,
953,EAS,13349.0833109152,,,,,2024,,,
954,ECA,5995.07850827244,,5.1891620376585,,71.9125911481178,2010,,,
955,ECA,6762.72946012902,12.7295999526978,4.88929044066082,,72.1509502224104,2011,,,
956,ECA,7071.92003622417,13.2592048645019,4.89712849039962,,72.674516586065,2012,,,
957,ECA,7646.16667724963,13.3798046112061,4.81937615186538,,73.1274427758791,2013,,,
958,ECA,7273.11278224833,13.3243503570556,4.75235434187384,,73.4217488485404,2014,,,
959,ECA,6282.95418433325,12.2989859171737,4.7021024459818,,73.7582707874779,2015,,,
960,ECA,5977.68550933388,13.1315798759461,4.87922327821657,,74.0349273934992,2016,,,
961,ECA,6112.70276991575,12.9533596038818,4.78158233818152,,74.4074945113083,2017,,,
962,ECA,5952.2500299061,12.7352046966553,4.80504703093047,,74.5976698113306,2018,,,
963,ECA,6020.63670154835,13.3578996658325,4.99561710885262,,74.821186588313,2019,,,
964,ECA,5733.41761868436,12.7811498641968,5.54432585385682,,73.5589573506665,2020,,,
965,ECA,6623.35137698536,12.6954898834228,5.7178475812598,,72.8874329657208,2021,,,
966,ECA,7247.60981221236,13.1722602844238,4.71080839331069,,74.5786223390478,2022,,,
967,ECA,8571.4101866164,14.6913599967957,,,74.7987152767476,2023,,,
968,ECA,9668.56270854153,17.6099612245917,,,,2024,,,
969,ECS,23684.8766148124,11.4719696044922,9.20322168358826,,75.9954040762695,2010,,,
970,ECS,26221.7856583388,11.6148347854615,9.0431207246185,,76.4794121218072,2011,,,
971,ECS,25146.0197755091,11.7688450813293,9.04869175773033,,76.6805951350343,2012,,,
972,ECS,26177.1096409942,12.1239099502563,9.10388705419425,,77.0325566033376,2013,,,
973,ECS,26444.7930069568,11.8351898193359,9.20054303851503,,77.3536995594249,2014,,,
974,ECS,22676.9494565466,12.007269859314,9.28107151869154,,77.331142300321,2015,,,
975,ECS,22496.7758500912,12.4132900238037,9.32814781934217,,77.6815195796899,2016,,,
976,ECS,23780.6167949133,12.0508999824524,9.23345605676748,,77.8993049650609,2017,,,
977,ECS,25362.6758114579,11.7663798332214,9.25729160309247,,78.0322195043255,2018,,,
978,ECS,24975.4166431436,12.0098304748535,9.35631287074489,,78.3042683990405,2019,,,
979,ECS,24121.4791035767,11.5947098731995,10.5098507886557,,77.1757484533311,2020,,,
980,ECS,27591.4108786977,11.5167899131775,10.4078733502973,,76.7287266936821,2021,,,
981,ECS,27782.8616206223,11.7219200134277,9.7579376244363,,77.8361130850842,2022,,,
982,ECS,29835.7180523654,,,,78.3870183177038,2023,,,
983,ECS,31392.581963732,,,,,2024,,,
1014,EMU,37495.4820609396,10.8892550468445,10.2028568826319,,80.6989426195589,2010,,,
1015,EMU,40574.3722348559,11.148994922638,10.0833554297763,,81.1826341807676,2011,,,
1016,EMU,37486.6282216839,11.3020448684692,10.1705267268793,,81.1827315779388,2012,,,
1017,EMU,39101.8249052989,11.126540184021,10.220505475603,,81.4679843013023,2013,,,
1018,EMU,39982.9007375611,11.5191698074341,10.251976863143,,81.8932526571977,2014,,,
1019,EMU,34467.5766635134,11.1929650306702,10.2176508289844,,81.5193991217567,2015,,,
1020,EMU,35232.2695661265,12.0882301330567,10.1942688162357,,81.9075874931284,2016,,,
1021,EMU,37237.5363554552,10.9489402770996,10.1595085077389,,81.8840085594743,2017,,,
1022,EMU,40096.712205156,10.9289703369141,10.1492764413164,,82.0027602577719,2018,,,
1023,EMU,39212.5111497975,11.1527047157287,10.2330126694132,,82.2804211551829,2019,,,
1024,EMU,38234.5335889285,10.7690496444702,11.2232983183465,,81.4873571657503,2020,,,
1025,EMU,42967.2551656434,10.6934204101562,11.235856066116,,81.5839330415712,2021,,,
1026,EMU,41446.4322827569,10.8573799133301,10.7656610173112,,81.6212237452298,2022,,,
1027,EMU,45068.7010930397,,,,82.1920076156423,2023,,,
1028,EMU,46724.355622795,,,,,2024,,,
1088,EUU,33122.5582674613,11.0278196334839,9.89968263095373,,79.6354307923887,2010,,,
1089,EUU,35967.0114355608,10.9618196487427,9.83685182131104,,80.1439505204153,2011,,,
